area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id
Werribee Catchment,"Werribee River opposite end of McGregor Court (Lions Club Reserve), Maddingley",0.4,9,0.03,5,15,78,-37.687273,144.433447,WerribeeCatchment
Werribee Catchment,"Werribee River at Old Melbourne Rd, Ballan",0.5,8,0.02,1,3,9,-37.5967768,144.1998141,WerribeeCatchment
Werribee Catchment,"Werribee River upstream weir at Riversdale Road, Werribee",0.5,7,0.05,2,5,12,-37.8726159,144.6540309,WerribeeCatchment
Werribee Catchment,"Werribee River at Cobbledicks Ford Rd,",0.6,9,0.05,8,12,18,-37.4713077,144.7851531,WerribeeCatchment
Werribee Catchment,"Yangardook Creek at Bridge Road, Melton South",0.7,5,0.10,4,10,16,-37.7148238,144.5854163,WerribeeCatchment
Westernport Catchment,"Ararat Creek at Nar Nar Goon-Longwarry Road, Nar Nar Goon",0.8,9,0.05,3,6,19,-38.0821308,145.5730091,WesternportCatchment
Westernport Catchment,"Balcombe Creek at footbridge off Uralla Drive, Mt Martha",1.2,8,0.04,1,7,15,-38.2667039,145.0324753,WesternportCatchment
Westernport Catchment,Bass River at Loch-Poowong Road,4.8,10,0.17,19,19,19,-38.3687135,145.7060804,WesternportCatchment
Westernport Catchment,Bass River at McGrath Road,1.0,4,0.14,1,13,26,-37.4713077,144.7851531,WesternportCatchment
Westernport Catchment,"Bass River at School Road, Bass",1.3,7,0.13,7,28,67,-38.4833748,145.4670322,WesternportCatchment
Westernport Catchment,"Bunyip River at North Labertouche Road, Labertouche",0.7,10,0.03,6,10,40,-37.9833916,145.7568071,WesternportCatchment
Westernport Catchment,"Bunyip River d/s Cannibal Creek, Longwarry North",0.6,10,0.04,8,11,19,-38.0856676,145.7637121,WesternportCatchment
Westernport Catchment,"Bunyip Main Drain at Little Road, Iona",0.8,9,0.10,10,17,27,-38.1278583,145.6865307,WesternportCatchment
Westernport Catchment,"Bunyip River at Healesville Koo-Wee-Rup Road, Koo-Wee-Rup",0.9,9,0.10,10,25,49,-38.1823506,145.4794766,WesternportCatchment
Westernport Catchment,"Cardinia Creek at Chadwick Road, Upper Beaconsfield",0.5,9,0.03,5,8,25,-38.004643,145.409755,WesternportCatchment
Westernport Catchment,"Cardinia Creek at Ballarto Road, Cardinia",0.8,8,0.05,6,17,24,-38.1460766,145.4242731,WesternportCatchment
Westernport Catchment,"Chinamans Creek at Eastborne Road, Rosebud West",1.9,5,0.10,3,6,110,-38.3632675,144.8776139,WesternportCatchment
Westernport Catchment,"Deep Creek at Ballarto Road, Rythdale",1.4,6,0.27,21,42,160,-38.1386501,145.4665466,WesternportCatchment
Westernport Catchment,"Diamond Creek at Ellis Road, Tonimbuk",0.6,9,0.04,2,16,26,-38.0264041,145.7435073,WesternportCatchment
Westernport Catchment,"Dunns Creek at Marine Drive, Safety Beach",0.6,7,0.04,1,4,8,-38.317895,144.9878402,WesternportCatchment
Westernport Catchment,"Kackeraboite Creek upstream Old Mornington Rd, Mt Eliza",0.9,9,0.04,1,4,10,-38.1734389,145.0942742,WesternportCatchment
Westernport Catchment,King Parrot Creek upstream Koo-Wee Rup-Longwarry Rd,1.6,8,0.11,12,36,120,-38.1863027,145.6272573,WesternportCatchment
