id,area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id,score_avg,score_rank,garbage_active,water_active
44,Werribee,Werribee River at Riversdale Road,0.5,7,0.05,2,5,12,-37.8726159,144.6540309,Werribee,18.98331477,94,1,0
45,Werribee,Werribee River at Cobbledicks Ford Rd,0.6,9,0.05,8,12,18,-37.4713077,144.7851531,Werribee,20.56944028,80,1,0
46,Werribee,"Yangardook Creek, Melton South",0.7,5,0.1,4,10,16,-37.7148238,144.5854163,Werribee,22.49268858,64,1,0
47,Westernport,"Ararat Creek, Nar Nar Goon",0.8,9,0.05,3,6,19,-38.0821308,145.5730091,Westernport,22.57119999,61,1,0
48,Westernport,"Balcombe Creek, Mt Martha",1.2,8,0.04,1,7,15,-38.2667039,145.0324753,Westernport,23.35640646,57,0,0
49,Westernport,Bass River at Loch-Poowong Road,4.8,10,0.17,19,19,19,-38.3687135,145.7060804,Westernport,72.29267069,5,0,1
50,Westernport,Bass River at McGrath Road,1,4,0.14,1,13,26,-37.4713077,144.7851531,Westernport,25.63512432,47,0,0
51,Westernport,Bass River at School Road,1.3,7,0.13,7,28,67,-38.4833748,145.4670322,Westernport,31.51961038,23,0,1
52,Westernport,"Bunyip River, Labertouche",0.7,10,0.03,6,10,40,-37.9833916,145.7568071,Westernport,18.35578577,98,1,1
53,Westernport,"Bunyip River d/s Cannibal Creek, Longwarry North",0.6,10,0.04,8,11,19,-38.0856676,145.7637121,Westernport,19.85637494,84,1,0
54,Westernport,"Bunyip Main Drain, Iona",0.8,9,0.1,10,17,27,-38.1278583,145.6865307,Westernport,27.4322847,40,0,1
55,Westernport,"Bunyip River, Koo-Wee-Rup",0.9,9,0.1,10,25,49,-38.1823506,145.4794766,Westernport,27.78403892,35,0,1
56,Westernport,"Cardinia Creek, Upper Beaconsfield",0.5,9,0.03,5,8,25,-38.004643,145.409755,Westernport,16.97722558,107,1,0
57,Westernport,"Cardinia Creek, Cardinia",0.8,8,0.05,6,17,24,-38.1460766,145.4242731,Westernport,21.41049785,73,1,0
58,Westernport,"Chinamans Creek, Rosebud West",1.9,5,0.1,3,6,110,-38.3632675,144.8776139,Westernport,27.97942181,32,0,1
59,Westernport,"Deep Creek, Rythdale",1.4,6,0.27,21,42,160,-38.1386501,145.4665466,Westernport,38.44810446,14,0,1
60,Westernport,"Diamond Creek, Tonimbuk",0.6,9,0.04,2,16,26,-38.0264041,145.7435073,Westernport,19.24655353,91,1,0
61,Westernport,"Dunns Creek, Safety Beach",0.6,7,0.04,1,4,8,-38.317895,144.9878402,Westernport,19.16515139,92,1,0
62,Westernport,"Kackeraboite Creek, Mt Eliza",0.9,9,0.04,1,4,10,-38.1734389,145.0942742,Westernport,22.56960967,62,1,0
63,Westernport,King Parrot Creek,1.6,8,0.11,12,36,120,-38.1863027,145.6272573,Westernport,32.28843568,22,0,1
64,Westernport,"Labertouche Creek, Labertouche",0.7,9,0.11,1,8,26,-38.0368363,145.799908,Westernport,27.51643426,38,0,0
65,Westernport,"Lang Lang River, Athlone",1.4,7,0.21,4,12,38,-38.2357844,145.7849898,Westernport,40.33765952,12,0,1
66,Westernport,"Lang Lang River, Lang Lang",0.5,8,0.08,10,12,71,-38.3052193,145.5705371,Westernport,19.64911064,87,1,1
67,Westernport,"Lower Gum Scrub Creek, Cardinia",2.3,8,0.24,4,14,18,-38.1345126,145.4504995,Westernport,56.14415262,6,0,0
68,Westernport,"Main Creek, Flinders",0.6,10,0.02,1,4,10,-38.4724152,145.0037804,Westernport,17.5876543,105,1,0
69,Westernport,"Merricks Creek, Merricks",0.9,9,0.05,3,7,120,-37.4713077,144.7851531,Westernport,20.18498122,81,0,1
70,Westernport,"Minnieburn Creek, Poowong",0.6,9,0.05,1,12,18,-38.357336,145.7537635,Westernport,20.93950057,74,1,0
71,Westernport,Musk Creek,1.5,9,0.17,10,29,47,-38.1863027,145.6272573,Westernport,41.59985215,11,0,1
72,Westernport,"Olivers Creek, Hastings",0.8,7,0.07,1,4,10,-38.307583,145.190201,Westernport,23.8416876,55,0,0
73,Westernport,"Red Bluff Creek, Jam Jerrup",5.6,8,0.58,19,47,390,-38.3337689,145.5536534,Westernport,115.3705806,3,0,1
74,Westernport,"Sweetwater Creek, Frankston South",0.7,10,0.04,1,3,10,-38.1593843,145.1073288,Westernport,21.67384717,70,1,0
75,Westernport,"Tarago River, Labertouche",0.6,9,0.07,6,15,22,-38.0368363,145.799908,Westernport,22.60197577,59,0,0
76,Westernport,"Toomuc Creek, Pakenham",1,9,0.07,4,10,51,-38.0644085,145.4639837,Westernport,25.54014011,48,0,1
77,Westernport,"Toomuc Creek, Rythdale",1.2,7,0.09,13,30,81,-38.1386501,145.4665466,Westernport,26.09454224,45,0,1
78,Westernport,"Upper Tarago River, Neerim",1,10,0.03,7,12,360,-37.9992832,145.9219378,Westernport,14.16882668,126,1,1
79,Westernport,"Warrangine Creek, Hastings",1.1,8,0.05,1,7,20,-38.2940731,145.1835888,Westernport,24.04110913,53,0,0
80,Westernport,"Watsons Creek, Somerville",13.2,9,0.97,3,6,28,-38.2307207,145.216374,Westernport,248.7536149,2,0,0
81,Westernport,"Wylies Drain, Devon Meadows",13.4,5,2.4,4,28,68,-38.1974145,145.3153647,Westernport,290.8062969,1,0,1
82,Yarra,"Andersons Creek, Warrandyte",1.7,8,0.11,1,4,15,-37.7420996,145.2049282,Yarra,36.84958866,15,0,0
83,Yarra,"Big Pats Creek, East Warburton",0.5,10,0.01,6,8,25,-37.741928,145.736069,Yarra,13.71611782,127,1,0
84,Yarra,"Bruces Creek, Whittlesea",1,5,0.13,3,14,53,-37.5111669,145.1205669,Yarra,25.78609899,46,0,1
85,Yarra,"Brushy Creek, Wonga Park",3.6,9,0.11,14,26,50,-37.7259348,145.2929381,Yarra,49.71374184,8,0,1
86,Yarra,"Cockatoo Creek, Macclesfield",1.2,10,0.02,4,11,47,-37.8851834,145.4770078,Yarra,18.88373694,95,1,1
87,Yarra,"Coranderrk Creek, Badger Creek",0.3,10,0.02,1,2,6,-37.6922709,145.5191148,Yarra,15.65434992,116,1,0
88,Yarra,"Darebin Creek, Alphington",0.9,9,0.05,1,4,18,-37.7810539,145.0306948,Yarra,23.5508,56,0,0
89,Yarra,"Diamond Creek, Cottlesbridge",0.9,8,0.04,1,7,10,-37.4713077,144.7851531,Yarra,21.8416876,68,1,0
90,Yarra,"Diamond Creek, Eltham",0.9,8,0.06,8,15,40,-37.6996816,145.1075351,Yarra,22.73283684,58,0,1
91,Yarra,"Edgars Creek, Coburg",0.9,8,0.06,1,5,12,-37.7354297,144.9776807,Yarra,24.39416282,52,0,0
92,Yarra,"Gardiners Creek, Ashwood",1.4,11,0.08,2,8,37,-37.863468,145.0999374,Yarra,33.19684829,21,0,1
93,Yarra,"Gardiners Creek, Hawthorn",1.2,10,0.07,4,8,38,-37.8355111,145.0330127,Yarra,28.75353118,31,0,1
94,Yarra,"Hoddles Creek, Launching Place",0.5,10,0.02,1,7,18,-37.7761214,145.578957,Yarra,16.39161834,113,1,0
95,Yarra,"Jumping Creek, Wonga Park",0.6,8,0.04,1,4,15,-37.7356146,145.2605234,Yarra,19.29795897,90,1,0
