area,region,n,min,p25,p50,p75,max
Westernport Catchment,"Lower Gum Scrub Creek at Wenn Road, Cardinia",8,4,10,14,16,18
Westernport Catchment,"Main Creek at Boneo Road, Flinders",9,1,3,4,4,10
Westernport Catchment,"Merricks Creek at Bridge Street, Merricks (Beach Road)",11,3,6,7,87,120
Westernport Catchment,"Minnieburn Creek at South Rd, Poowong",9,1,6,12,14,18
Westernport Catchment,Musk Creek upstream Koo-Wee Rup-Longwarry Rd,9,10,15,29,32,47
Westernport Catchment,"Olivers Creek at Barclays Cresent, Hastings",12,1,1,4,5,10
Westernport Catchment,"Red Bluff Creek at Bass Highway, Jam Jerrup",6,19,33,47,95,390
Westernport Catchment,"Sweetwater Creek at Grange Rd, Frankston South",12,1,2,3,6,10
Westernport Catchment,"Tarago River at Morrisons Road, Labertouche",9,6,13,15,18,22
Westernport Catchment,"Toomuc Creek at Princes Highway, Pakenham",12,4,8,10,15,51
Westernport Catchment,"Toomuc Creek at Ballarto Road, Rythdale",12,13,20,30,61,81
Westernport Catchment,"Upper Tarago River at Elton Road, Neerim (upstream Tarago Reservoir)",9,7,11,12,24,360
Westernport Catchment,"Warrangine Creek at Frankston-Flinders Road, Hastings",10,1,3,7,10,20
Westernport Catchment,"Watsons Creek at Dandenong-Hastings Road, Somerville",12,3,4,6,10,28
Westernport Catchment,"Wylies Drain at Baxter-Tooradin Rd, Devon Meadows",8,4,15,28,56,68
Yarra Catchment,"Andersons Creek at Everard Drive, Warrandyte",11,1,3,4,8,15
Yarra Catchment,"Big Pats Creek upstream Riverdside Drive, East Warburton",9,6,6,8,17,25
Yarra Catchment,"Bruces Creek at Beech St, Whittlesea",9,3,9,14,19,53
Yarra Catchment,"Brushy Creek at Lower Homestead Road, Wonga Park",12,14,21,26,43,50
Yarra Catchment,"Cockatoo Creek at Tschampions Road, Macclesfield",9,4,6,11,20,47
Yarra Catchment,"Coranderrk Creek at Healesville-Koo Wee Rup Rd, Badger Creek",9,1,1,2,3,6
Yarra Catchment,"Darebin Creek at Clark Road, Alphington",12,1,4,4,6,18
Yarra Catchment,"Diamond Creek at Strathewan Road, Cottlesbridge",4,1,4,7,9,10
Yarra Catchment,"Diamond Creek at Main Road, Eltham",12,8,12,15,22,40
Yarra Catchment,"Edgars Creek at Murray Road, Coburg",11,1,4,5,7,12
Yarra Catchment,"Gardiners Creek at footbridge off Barrington Drive, Ashwood",12,2,6,8,11,37
Yarra Catchment,"Gardiners Creek at Glenferrie Road, Hawthorn",12,4,6,8,11,38
Yarra Catchment,"Hoddles Creek upstream Warburton Hwy, Launching Place",9,1,4,7,8,18
Yarra Catchment,"Jumping Creek at Jumping Creek Road, Wonga Park",9,1,3,4,6,15
Yarra Catchment,"Koonung Creek at Bulleen Road, Bulleen",12,2,6,8,22,54
Yarra Catchment,"Little Yarra River at Corduroy Road, Yarra Junction",9,6,9,12,20,52
Yarra Catchment,"McCrae Creek upstream Healesville-Koo Wee Rup Road, Yellingbo",9,8,11,13,30,63
Yarra Catchment,"McMahons Creek at Woods Point Road, McMahons Creek",9,1,1,3,4,6
Yarra Catchment,"Merri Creek at Summerhill Road, Craigieburn",12,2,4,5,8,44
Yarra Catchment,"Merri Creek at Roseneath Street, Yarra Bend",12,1,3,5,6,50
Yarra Catchment,"Moonee Ponds Creek at walk bridge in Jacana Reserve, Gladstone Park",12,1,4,7,9,14
Yarra Catchment,"Moonee Ponds Creek at Racecourse Road, Flemington",12,4,8,11,15,37
Yarra Catchment,"Mullum Mullum Creek at Deep Creek Reserve, Warrandyte",12,5,10,13,16,28
Yarra Catchment,"New Chum Creek at Valley Farm Road, Healesville",9,1,4,4,5,10
Yarra Catchment,"Olinda Creek upstream Hull Rd, Lilydale",12,4,8,9,15,46
Yarra Catchment,"Olinda Creek at MacIntyre Lane, Coldstream",12,12,17,22,29,32
Yarra Catchment,"O'Shannassy River at a small track off Road one, Warburton East",9,1,1,1,1,6
Yarra Catchment,"Pauls Creek at Healesville-Yarra Glen Road, Tarrawarra",7,10,13,13,17,33
